"bill","committee","session","url","filename","date"
"","Meeting of STATE HOUSE COMMISSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/shc121007.pdf","shc121007.pdf","December 10, 2007"
"","Meeting of SPECIAL LEGISLATIVE DISTRICT SELECTION COMMITTEE SPECIAL LEGISLATIVE DISTRICT SELECTION COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/slds041607.pdf","slds041607.pdf","April 16, 2007"
"","Meeting of SPECIAL LEGISLATIVE DISTRICT SELECTION COMMITTEE SPECIAL LEGISLATIVE DISTRICT SELECTION COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/splegdist041607_appendix.pdf","splegdist041607_appendix.pdf","April 16, 2007"
"","Public hearing before PUBLIC OFFICERS SALARY REVIEW COMMISSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/posr111407.pdf","posr111407.pdf","November 14, 2007"
"","Public hearing before PUBLIC OFFICERS SALARY REVIEW COMMISSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/posr111407_appendix.pdf","posr111407_appendix.pdf","November 14, 2007"
"","Public hearing before PUBLIC OFFICERS SALARY REVIEW COMMISSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/posr111907.pdf","posr111907.pdf","November 19, 2007"
"","Public hearing before PUBLIC OFFICERS SALARY REVIEW COMMISSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/posr111907_appendix.pdf","posr111907_appendix.pdf","November 19, 2007"
"","Public Hearing before SENATE ECONOMIC GROWTH COMMITTEE and SENATE ENVIRONMENT COMMITTEE Senate Bill No. 2428 Public Hearing before SENATE ECONOMIC GROWTH COMMITTEE and SENATE ENVIRONMENT COMMITTEE Senate Bill No. 2428","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SEG_SEN12112008.pdf","SEG_SEN12112008.pdf","December 11 , 2008"
"","Public Hearing before SENATE ECONOMIC GROWTH COMMITTEE and SENATE ENVIRONMENT COMMITTEE Senate Bill No. 2428 Public Hearing before SENATE ECONOMIC GROWTH COMMITTEE and SENATE ENVIRONMENT COMMITTEE Senate Bill No. 2428","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SEG_SEN12112008_appendix.pdf","SEG_SEN12112008_appendix.pdf","December 11 , 2008"
"","Public Hearing before SENATE EDUCATION COMMITTEE Public Hearing before SENATE EDUCATION COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sed11172008.pdf","sed11172008.pdf","November 17, 2008"
"","Public Hearing before SENATE EDUCATION COMMITTEE Public Hearing before SENATE EDUCATION COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sed11172008_appendix.pdf","sed11172008_appendix.pdf","November 17, 2008"
"","Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE","2009 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/scu02092009.pdf","scu02092009.pdf","February 9, 2009"
"","Committee Meeting of SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen012808.pdf","sen012808.pdf","January 28, 2008"
"","Committee Meeting of SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen012808_appendix.pdf","sen012808_appendix.pdf","January 28, 2008"
